0.005,173.4
0.01,123.6
0.015,105.4
0.02,102.5
0.025,103.6
0.03,104.0
0.035,103.4
0.04,106.6
0.045,104.5
0.05,103.5
0.055,104.0
0.06,101.8
0.065,105.9
0.07,106.3
0.075,103.0
0.08,104.4
0.085,103.4
0.09,103.8
0.095,105.8
0.1,105.9
0.105,105.6
0.11,104.0
0.115,101.4
0.12,109.5
0.125,107.6
0.13,102.1
0.135,104.2
0.14,107.0
0.145,106.7
0.15,104.3
0.155,106.1
0.16,106.7
0.165,106.5
0.17,102.5
0.175,103.7
0.18,102.7
0.185,104.1
0.19,104.9
0.195,104.6
0.2,105.7
0.205,101.4
0.21,102.9
0.215,101.9
0.22,102.6
0.225,105.0
0.23,101.4
0.235,103.0
0.24,102.7
0.245,103.8
0.25,102.0
